UID	Lncbook_id	Lncbook_trans_id	transcript_id
ELH000090	HSALNG0008545	HSALNT0017723	HSALNT0017723
ELH000090	HSALNG0008545	HSALNT0017724	HSALNT0017724
ELH000090	HSALNG0008545	HSALNT0017725	HSALNT0017725
ELH000090	HSALNG0008545	HSALNT0017726	HSALNT0017726
ELH000090	HSALNG0008545	HSALNT0017728	HSALNT0017728
ELH000090	HSALNG0008545	HSALNT0017732	HSALNT0017732
ELH000090	HSALNG0008545	HSALNT0017737	HSALNT0017737
ELH000090	HSALNG0008545	HSALNT0017738	HSALNT0017738
ELH000090	HSALNG0008545	HSALNT0017739	HSALNT0017739
ELH000090	HSALNG0008545	HSALNT0017740	HSALNT0017740
ELH000090	HSALNG0008545	HSALNT0017744	HSALNT0017744
ELH000090	HSALNG0008545	HSALNT0017748	HSALNT0017748
ELH000090	HSALNG0008545	HSALNT0017749	HSALNT0017749
ELH000090	HSALNG0008545	HSALNT0017751	HSALNT0017751
ELH000090	HSALNG0008545	HSALNT0017753	HSALNT0017753
ELH000090	HSALNG0008545	HSALNT0017757	HSALNT0017757
ELH000090	HSALNG0008545	HSALNT0017760	HSALNT0017760
ELH000090	HSALNG0008545	HSALNT0017768	HSALNT0017768
ELH000090	HSALNG0008545	HSALNT0017773	HSALNT0017773
ELH000090	HSALNG0008545	HSALNT0017776	HSALNT0017776
ELH000090	HSALNG0008545	HSALNT0017777	HSALNT0017777
ELH000090	HSALNG0008545	HSALNT0296610	HSALNT0296610
ELH000090	HSALNG0008545	HSALNT0296611	HSALNT0296611
ELH000090	HSALNG0008545	HSALNT0296612	HSALNT0296612
ELH000090	HSALNG0008545	HSALNT0296613	HSALNT0296613
ELH000090	HSALNG0008545	HSALNT0296614	HSALNT0296614
ELH000090	HSALNG0008545	HSALNT0296615	HSALNT0296615
ELH000090	HSALNG0008545	HSALNT0296616	HSALNT0296616
ELH000090	HSALNG0008545	HSALNT0296617	HSALNT0296617
ELH000090	HSALNG0008545	HSALNT0296619	HSALNT0296619
ELH000090	HSALNG0008545	HSALNT0296620	HSALNT0296620
ELH000090	HSALNG0008545	HSALNT0296621	HSALNT0296621
ELH000090	HSALNG0008545	HSALNT0296622	HSALNT0296622
ELH000090	HSALNG0008545	HSALNT0296629	HSALNT0296629
ELH000090	HSALNG0008545	HSALNT0296634	HSALNT0296634
ELH000090	HSALNG0008545	HSALNT0296639	HSALNT0296639
ELH000090	HSALNG0008545	HSALNT0296641	HSALNT0296641
ELH000090	HSALNG0008545	HSALNT0296642	HSALNT0296642
ELH000090	HSALNG0008545	HSALNT0296643	HSALNT0296643
ELH000090	HSALNG0008545	HSALNT0296644	HSALNT0296644
ELH000090	HSALNG0008545	HSALNT0296645	HSALNT0296645
ELH000090	HSALNG0008545	HSALNT0296646	HSALNT0296646
ELH000098	HSALNG0009325	HSALNT0019350	HSALNT0019350
ELH000098	HSALNG0009325	HSALNT0297230	HSALNT0297230
ELH000098	HSALNG0009325	HSALNT0297231	HSALNT0297231
ELH000099	HSALNG0009326	HSALNT0019351	HSALNT0019351
ELH000101	HSALNG0009329	HSALNT0019354	HSALNT0019354
ELH000102	HSALNG0009430	HSALNT0019574	HSALNT0019574
ELH000102	HSALNG0009430	HSALNT0019575	HSALNT0019575
ELH000102	HSALNG0009430	HSALNT0019576	HSALNT0019576
ELH000102	HSALNG0009430	HSALNT0019579	HSALNT0019579
ELH000104	HSALNG0009507	HSALNT0019688	HSALNT0019688
ELH000104	HSALNG0009507	HSALNT0019690	HSALNT0019690
ELH000105	HSALNG0009511	HSALNT0019693	HSALNT0019693
ELH000105	HSALNG0009511	HSALNT0019694	HSALNT0019694
ELH000105	HSALNG0009511	HSALNT0019697	HSALNT0019697
ELH000105	HSALNG0009511	HSALNT0019698	HSALNT0019698
ELH000105	HSALNG0009511	HSALNT0019710	HSALNT0019710
ELH000105	HSALNG0009511	HSALNT0019711	HSALNT0019711
ELH000105	HSALNG0009511	HSALNT0019715	HSALNT0019715
ELH000105	HSALNG0009511	HSALNT0297328	HSALNT0297328
ELH000105	HSALNG0009511	HSALNT0297329	HSALNT0297329
ELH000105	HSALNG0009511	HSALNT0297330	HSALNT0297330
ELH000105	HSALNG0009511	HSALNT0297331	HSALNT0297331
ELH000105	HSALNG0009511	HSALNT0297332	HSALNT0297332
ELH000105	HSALNG0009511	HSALNT0297333	HSALNT0297333
ELH000105	HSALNG0009511	HSALNT0297334	HSALNT0297334
ELH000105	HSALNG0009511	HSALNT0297335	HSALNT0297335
ELH000105	HSALNG0009511	HSALNT0297336	HSALNT0297336
ELH000105	HSALNG0009511	HSALNT0297337	HSALNT0297337
ELH000105	HSALNG0009511	HSALNT0297338	HSALNT0297338
ELH000105	HSALNG0009511	HSALNT0297339	HSALNT0297339
ELH000105	HSALNG0009511	HSALNT0297340	HSALNT0297340
ELH000107	HSALNG0009519	HSALNT0019708	HSALNT0019708
ELH000107	HSALNG0009519	HSALNT0019714	HSALNT0019714
ELH000108	HSALNG0009521	HSALNT0019712	HSALNT0019712
ELH000115	HSALNG0009615	HSALNT0019905	HSALNT0019905
ELH000115	HSALNG0009615	HSALNT0019906	HSALNT0019906
