UID,variation_id
ELH001201,7967;96261;155976;155981;155982;155983;155984;155985;155991;155992;156620;160220;160219;217365;212536;212535;212533;212534;212532;217026;265322;279915;279968;375262;408432;421035;425063;458666;520736;524018;589422;665896;803055;817212;817467;845525;872111;961399;981382;984971;987033;995996;1067820;1073548;1285431;1330960;1415881;1430133;1423106;1675555;1686289;1703145;1803086;2570895;2632630;2633102;2835088;2853973;155959;155964;155971;155986;155987;160213;160212;160211;160209;160207;160206;160205;197868;212531;218320;265385;421239;423640;489356;521487;559871;803056;803057;813761;817151;934588;981483;987205;1064603;1323732;1465444;1481700;1677728;1708155;2444079;2499946;2500108;2582382;2583172;2664157;2839261;7966;96257;136192;136193;136194;136205;155943;155947;155951;155955;155994;160204;160203;160199;160198;160228;160227;160226;160225;160224;160223;167813;217362;208713;265285;279958;280168;280201;280389;287274;372595;392477;421257;418572;423094;430147;432241;446052;449699;452836;546267;568584;577015;589644;620293;625203;645339;692239;803058;803059;817008;846659;864214;949904;987240;1032380;1066645;1453396;1370721;1679233;1690585;1762235;2016199;2090979;2412737;2434423;2499676;2584851;2614339;2632624;2662820;2710207;2853931;2860893;136199;212530
ELH001202,977745;224119;235919;235922;235923;243076;429586;503525;559630;1050804;1251958;1695412;1962375;2854043
ELH001208,1525985;1676673;1676674;829541;18087;18088;18089;18090;18093;18094;18096;18097;18101;18102;18103;18105;98240;446855;1298879;1342870;1457308;2498894;2628367
ELH001213,8448;383925;667373;839342;935371;983475;1077103;1418123;1459316;1424381;1428067;2086066;2440302;2632844;2922450;2922986;2947078;2952039;3237156
ELH001215,141882;406708;581437;870835;969967;1059393;1072356;1504229;1497087;1347045;1497229;1491259;2573238
ELH001218,284267;403859;419286;802656;834749;1066335;1067787;1524210;1686137;2071726;2814365;2831932;234909;245894;566898;930658;2022380;2032532;2704939;2728844;2960159
ELH001220,14933;14938;36798;36809;36814;36817;447493;447486;502525;562372;805632;929078;1033090;1327593;1327597;1327598;1327599;1334148;1334149;1337740;1338407;1338508;1338520;1342948;1342949;1342950;1342951;1342952;1675051;1675053;1675058;1675060;1675061;1675062;1675063;1676683;1676685;1676686;1676687;1676689;1676691;1676694;1676695;1676696;1676705;1676707;1676712;1677040;1679550;1687081;1693222;1693223;1774157;1802525;2035581;2086630;2707891;2735981;2735982;2865059;3024563
ELH001251,94104;280092;279895;279896;288561;426163;449939;450122;467821;467822;521127;521601;535836;566314;581870;577696;599276;859786;855754;872143;916474;947562;954296;986764;986773;986775;988074;992826;1038715;1065422;1075154;1184938;1275797;1285485;1387489;1457230;1679309;1683930;1695088;1699551;1700169;1709556;1710324;1710347;1710348;1992360;2047344;2098215;2582377;2630457;2763472;2762119;2823248;2844603;3024273;3062095
ELH001253,1490189;2203663;2023820;1424060;1927528;6801;1804842;1978173;2095902;2127344;2695202;2763810;2841725;987348
ELH001259,14898;14900;2632947;14898;14900;2632947
